,lat_index,lon_index
0,169,66
1,123,334
2,113,315
3,143,294
4,135,295
5,127,281
6,82,304
7,83,302
8,71,298
9,126,280
10,154,275
11,136,279
12,283,159
13,259,109
14,90,319
15,138,266
16,118,291
17,126,294
18,136,276
19,128,289
20,218,287
21,127,331
22,127,327
23,215,282
24,202,298
25,261,97
26,102,309
27,120,303
28,219,338
29,96,294
30,178,278
31,301,144
32,98,310
33,133,324
34,137,325
35,172,310
36,211,240
37,162,150
38,190,264
39,91,390
40,236,342
41,152,369
42,95,403
43,146,331
44,225,346
45,232,343
46,280,104
47,278,98
48,64,291
49,124,288
50,134,327
51,212,347
52,212,340
53,295,170
54,274,93
55,287,96
56,92,340
57,103,343
58,217,337
59,77,344
60,71,380
61,90,377
62,290,113
63,292,121
64,296,130
65,56,390
66,297,152
67,135,403
68,302,96
69,37,374
70,170,407
71,178,394
72,131,342
73,140,234
74,167,318
75,295,172
76,152,398
77,193,348
78,198,357
79,192,358
80,89,408
81,95,398
82,216,356
83,208,375
84,17,386
85,194,373
86,190,377
87,294,160
88,25,382
89,49,310
90,36,306
91,161,416
92,207,297
93,28,351
94,59,380
95,46,386
96,12,360
97,103,384
98,160,361
99,184,367
100,223,334
101,168,402
102,61,315
103,205,377
104,159,393
105,168,356
106,141,359
107,153,282
108,124,416
109,169,371
110,178,376
111,296,124
112,139,381
113,88,399
114,87,407
115,55,387
116,78,380
117,82,407
118,149,390
119,223,273
120,89,378
121,148,231
122,236,80
123,202,377
124,73,394
125,20,334
126,29,313
127,243,89
128,178,209
129,78,397
130,176,231
131,160,224
132,175,232
133,71,326
134,153,282
135,175,216
136,304,111
137,174,100
138,295,177
139,295,174
140,149,268
141,136,279
142,189,290
143,51,400
144,169,138
145,233,132
146,168,218
147,179,206
148,232,143
149,190,186
150,193,383
151,288,87
152,294,182
153,291,121
154,282,90
155,273,102
156,269,81
157,261,91
158,158,406
159,78,346
160,117,312
161,115,321
